corner,v_volt,t_celsius,pattern,pat_name,seg0,seg1,seg2,seg3,cfg_word,clk_period_ns,startpoint,startpoint_reg,endpoint,endpoint_reg,endpoint_bit,path_delay_ns,arrival_ns,required_ns,slack_ns,slack_met,predicted_fmax_mhz,sensitizing_vector,sensitizing_chain_stages,global_startpoint,global_startpoint_reg,global_endpoint,global_slack_ns,global_path_delay_ns,run_id,git_commit,librelane_image,pdk_rev
nom_fast_1p32V_m40C,1.32,-40,0,prbs,0,0,0,0,0x0000,20.0,_1408_,u_pat.lfsr[12],_1488_,result_reg[16],16,3.44,3.66,19.89,16.24,True,265.957,"a=0x455D,b=0xBA8A,cin=1",12,_1409_,_0043_,_1488_,16.22,3.46,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,1,worst,0,0,0,0,0x0100,20.0,_1412_,u_pat.idx[0],_1488_,result_reg[16],16,3.49,3.72,19.89,16.17,True,261.097,"a=0xFFFF,b=0x0001,cin=0",17,_1412_,u_pat.idx[0],_1488_,16.17,3.49,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,2,alt,0,0,0,0,0x0200,20.0,_1412_,u_pat.idx[0],_1476_,result_reg[4],4,0.79,1.02,19.88,18.86,True,877.193,"a=0xAAAA,b=0x5555,cin=0",5,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,3,hold,0,0,0,0,0x0300,20.0,,,,,,,,,,,,(no runtime-sensitizable path),,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,0,prbs,1,1,1,1,0x0055,20.0,_1408_,u_pat.lfsr[12],_1488_,result_reg[16],16,5.88,6.1,19.89,13.79,True,161.031,"a=0x455D,b=0xBA8A,cin=1",12,_1409_,_0043_,_1488_,13.77,5.9,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,1,worst,1,1,1,1,0x0155,20.0,_1412_,u_pat.idx[0],_1488_,result_reg[16],16,5.9399999999999995,6.17,19.89,13.72,True,159.236,"a=0xFFFF,b=0x0001,cin=0",17,_1412_,u_pat.idx[0],_1488_,13.72,5.9399999999999995,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,2,alt,1,1,1,1,0x0255,20.0,_1412_,u_pat.idx[0],_1476_,result_reg[4],4,0.79,1.02,19.88,18.86,True,877.193,"a=0xAAAA,b=0x5555,cin=0",5,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,3,hold,1,1,1,1,0x0355,20.0,,,,,,,,,,,,(no runtime-sensitizable path),,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,0,prbs,2,2,2,2,0x00AA,20.0,_1408_,u_pat.lfsr[12],_1488_,result_reg[16],16,8.319999999999999,8.54,19.89,11.35,True,115.607,"a=0x455D,b=0xBA8A,cin=1",12,_1409_,_0043_,_1488_,11.33,8.34,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,1,worst,2,2,2,2,0x01AA,20.0,_1412_,u_pat.idx[0],_1488_,result_reg[16],16,8.379999999999999,8.61,19.89,11.28,True,114.679,"a=0xFFFF,b=0x0001,cin=0",17,_1412_,u_pat.idx[0],_1488_,11.28,8.379999999999999,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,2,alt,2,2,2,2,0x02AA,20.0,_1412_,u_pat.idx[0],_1476_,result_reg[4],4,0.79,1.02,19.88,18.86,True,877.193,"a=0xAAAA,b=0x5555,cin=0",5,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,3,hold,2,2,2,2,0x03AA,20.0,,,,,,,,,,,,(no runtime-sensitizable path),,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,0,prbs,3,3,3,3,0x00FF,20.0,_1408_,u_pat.lfsr[12],_1488_,result_reg[16],16,10.78,11.0,19.89,8.9,True,90.09,"a=0x455D,b=0xBA8A,cin=1",12,_1409_,_0043_,_1488_,8.88,10.799999999999999,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,1,worst,3,3,3,3,0x01FF,20.0,_1412_,u_pat.idx[0],_1488_,result_reg[16],16,10.84,11.07,19.89,8.83,True,89.526,"a=0xFFFF,b=0x0001,cin=0",17,_1412_,u_pat.idx[0],_1488_,8.83,10.84,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,2,alt,3,3,3,3,0x02FF,20.0,_1412_,u_pat.idx[0],_1476_,result_reg[4],4,0.79,1.02,19.88,18.86,True,877.193,"a=0xAAAA,b=0x5555,cin=0",5,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,3,hold,3,3,3,3,0x03FF,20.0,,,,,,,,,,,,(no runtime-sensitizable path),,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,0,prbs,3,0,0,0,0x0003,20.0,_1408_,u_pat.lfsr[12],_1488_,result_reg[16],16,5.2700000000000005,5.49,19.89,14.4,True,178.571,"a=0x455D,b=0xBA8A,cin=1",12,_1409_,_0043_,_1488_,14.38,5.29,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,1,worst,3,0,0,0,0x0103,20.0,_1412_,u_pat.idx[0],_1488_,result_reg[16],16,5.329999999999999,5.56,19.89,14.33,True,176.367,"a=0xFFFF,b=0x0001,cin=0",17,_1412_,u_pat.idx[0],_1488_,14.33,5.329999999999999,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,2,alt,3,0,0,0,0x0203,20.0,_1412_,u_pat.idx[0],_1476_,result_reg[4],4,0.79,1.02,19.88,18.86,True,877.193,"a=0xAAAA,b=0x5555,cin=0",5,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,3,hold,3,0,0,0,0x0303,20.0,,,,,,,,,,,,(no runtime-sensitizable path),,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,0,prbs,0,0,0,3,0x00C0,20.0,_1408_,u_pat.lfsr[12],_1488_,result_reg[16],16,5.25,5.47,19.89,14.42,True,179.211,"a=0x455D,b=0xBA8A,cin=1",12,_1409_,_0043_,_1488_,14.4,5.2700000000000005,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,1,worst,0,0,0,3,0x01C0,20.0,_1412_,u_pat.idx[0],_1488_,result_reg[16],16,5.31,5.54,19.89,14.36,True,177.305,"a=0xFFFF,b=0x0001,cin=0",17,_1412_,u_pat.idx[0],_1488_,14.36,5.31,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,2,alt,0,0,0,3,0x02C0,20.0,_1412_,u_pat.idx[0],_1476_,result_reg[4],4,0.79,1.02,19.88,18.86,True,877.193,"a=0xAAAA,b=0x5555,cin=0",5,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,3,hold,0,0,0,3,0x03C0,20.0,,,,,,,,,,,,(no runtime-sensitizable path),,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,0,prbs,2,1,3,0,0x0036,20.0,_1408_,u_pat.lfsr[12],_1488_,result_reg[16],16,7.13,7.35,19.89,12.54,True,134.048,"a=0x455D,b=0xBA8A,cin=1",12,_1409_,_0043_,_1488_,12.52,7.16,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,1,worst,2,1,3,0,0x0136,20.0,_1412_,u_pat.idx[0],_1488_,result_reg[16],16,7.1899999999999995,7.42,19.89,12.47,True,132.802,"a=0xFFFF,b=0x0001,cin=0",17,_1412_,u_pat.idx[0],_1488_,12.47,7.1899999999999995,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,2,alt,2,1,3,0,0x0236,20.0,_1412_,u_pat.idx[0],_1476_,result_reg[4],4,0.79,1.02,19.88,18.86,True,877.193,"a=0xAAAA,b=0x5555,cin=0",5,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,3,hold,2,1,3,0,0x0336,20.0,,,,,,,,,,,,(no runtime-sensitizable path),,_1491_,frame_cnt[2],_1483_,18.67,0.99,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,0,prbs,1,2,0,3,0x00C9,20.0,_1408_,u_pat.lfsr[12],_1488_,result_reg[16],16,7.1000000000000005,7.32,19.89,12.57,True,134.59,"a=0x455D,b=0xBA8A,cin=1",12,_1409_,_0043_,_1488_,12.55,7.12,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
